,NumberofBuildings,NumberofFloors,PropertyGFAParking,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,LogSiteEnergyUseWN(kBtu),LogPropertyGFATotal,LogPropertyGFABuilding(s),LogLargestPropertyUseTypeGFA,LogGHGEmissionsIntensity,HasGas,HasSteam,Decennie,TotalPourcentGFAParking,TotalPourcentLargestProperty,TotalPourcent2ndLargestProperty,TotalPourcent3rdLargestProperty,TotalPourcentBuildings,BALLARD,Ballard,CENTRAL,Central,DELRIDGE,DELRIDGE NEIGHBORHOODS,DOWNTOWN,Delridge,EAST,GREATER DUWAMISH,LAKE UNION,MAGNOLIA / QUEEN ANNE,NORTH,NORTHEAST,NORTHWEST,North,Northwest,SOUTHEAST,SOUTHWEST,Distribution Center,Hospital,Hotel,K-12 School,Large Office,Low-Rise Multifamily,Medical Office,Mixed Use Property,Other,Refrigerated Warehouse,Retail Store,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,Warehouse,Worship Facility,Adult Education,Automobile Dealership,Bank Branch,Courthouse,Data Center,Distribution Center,Financial Office,Fire Station,Fitness Center/Health Club/Gym,Food Service,Hospital (General Medical & Surgical),Hotel,K-12 School,Laboratory,Library,Lifestyle Center,Manufacturing/Industrial Plant,Medical Office,Movie Theater,Multifamily Housing,Museum,Non-Refrigerated Warehouse,Office,Other,Other - Education,Other - Entertainment/Public Assembly,Other - Lodging/Residential,Other - Mall,Other - Public Services,Other - Recreation,Other - Restaurant/Bar,Other - Services,Other - Utility,Other/Specialty Hospital,Parking,Performing Arts,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Police Station,Pre-school/Daycare,Prison/Incarceration,Refrigerated Warehouse,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Residence Hall/Dormitory,Residential Care Facility,Restaurant,Retail Store,Senior Care Community,Social/Meeting Hall,Strip Mall,Supermarket/Grocery Store,Urgent Care/Clinic/Other Outpatient,Wholesale Club/Supercenter,Worship Facility,
11,1.0,9,0,,,48.0,15.665337735831763,11.082296383198514,11.082296383198514,11.082296383198514,1.80005827204275,1,1,1920,0.0,100.0,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.0,33,57600,57600.0,,58.0,16.93013409730517,12.66334874732981,12.462082145801965,12.596464724140818,1.1151415906193203,1,1,1980,18.230617308958323,93.53034638172888,18.230617308958323,,81.76938269104167,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0,11,25200,25200.0,,35.0,16.229565824587617,11.431617790897278,11.112313560992032,11.11826675682705,1.8794650496471605,1,1,1920,27.33485193621868,73.09903460245145,27.33485193621868,,72.66514806378132,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0,11,57000,49000.0,1074.0,72.0,16.7444036926547,12.928781055513184,12.779875885354993,12.80741698836436,0.3646431135879093,0,1,2000,13.83495145631068,88.57111650485437,11.893203883495145,0.2606796116504854,86.16504854368932,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.0,6,0,40000.0,0.0,72.0,16.137125921240067,11.55129966608712,11.55129966608712,11.407576060361786,1.6448050562713916,1,1,1930,0.0,86.61258192106706,38.49448085380759,0.0,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.0,28,85000,85000.0,,31.0,17.352168499377516,12.939118194198793,12.71072525539031,12.760905585289162,1.0750024230289759,1,0,1980,20.418899733593413,83.676410885916,20.418899733593413,,79.58110026640658,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.0,5,0,15505.0,9741.0,66.0,15.879485607710194,10.95872250123467,10.95872250123467,9.707655133714226,1.749199854809259,1,1,1900,0.0,28.618672979182623,26.987746292557265,16.955023323818143,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
18,1.0,10,0,,,39.0,16.13343824905496,11.555534661493144,11.555534661493144,11.555534661493144,1.4701758451005926,1,1,1910,0.0,100.0,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,10,0,,,76.0,17.66614929436709,13.199992713700011,13.199992713700011,13.194034525770327,1.205970806988609,1,0,1910,0.0,99.40595158783033,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,19,0,,,72.0,17.718275095746698,12.861712644003578,12.861712644003578,12.861712644003578,1.6882490928583902,1,0,1980,0.0,100.0,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,6,30586,30586.0,,84.0,15.116570439749157,11.391808126699964,10.968318971901319,10.968318971901319,0.7030975114131134,1,0,2000,34.52456203720426,65.47543796279574,34.52456203720426,,65.47543796279574,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,2,0,,,72.0,14.08571907185736,11.115800481137065,11.115800481137065,11.115800481137065,0.13102826240640408,0,0,1930,0.0,100.0,,,100.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,8,30301,42000.0,4500.0,62.5,15.506517950423158,11.974625968475259,11.762718736879195,11.632280597567725,0.9631743177730056,1,0,1990,19.096145604880384,71.01010864907106,26.469031233456857,2.8359676321560916,80.90385439511961,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,10,38281,,,57.0,16.228868215026306,12.054476200865155,11.80250074417462,11.76686976543715,1.0681530811834012,1,0,2000,22.27374815263054,75.00552756217053,,,77.72625184736947,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,5,16200,,,57.0,15.332389003910944,11.13328890939415,10.863048479640058,10.778852117797637,1.0577902941478545,1,0,1970,23.68074842859231,70.15640988159626,,,76.31925157140769,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,3,0,18153.0,4307.0,73.0,15.363858077627487,11.376681826100373,11.376681826100373,10.61996055839957,1.0331844833456545,1,0,1900,0.0,46.91962137012675,20.802869519378422,4.935710847791707,100.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,4,0,,,29.0,15.722276248101736,11.312912331044872,11.312912331044872,11.312912331044872,1.2892326482767593,1,0,1990,0.0,100.0,,,100.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3.0,2,0,276000.0,71000.0,60.0,17.602197457481186,13.478772686065135,13.478772686065135,13.331003865890963,0.3646431135879093,0,0,1960,0.0,86.2630322296053,38.65031963534263,9.94265468880191,100.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,2,0,,,97.0,14.404669822087598,10.914852072639958,10.914852072639958,10.914852072639958,0.4510756193602166,1,0,1990,0.0,100.0,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,2,0,39314.0,,57.0,15.692891070059687,11.460589521950299,11.460589521950299,10.925704639950524,0.8671004876833833,1,0,1960,0.0,58.57323498419389,41.42676501580611,,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,2,0,7849.0,,83.0,14.963115053881802,10.869615519257454,10.869615519257454,10.840168974058017,0.9555114450274363,1,0,1900,0.0,97.09822278037828,14.935114358564524,,100.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,3,0,,,95.0,15.880663819102567,12.072632677297742,12.072632677297742,12.072632677297742,0.883767540168595,1,0,1950,0.0,100.0,,,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
